path,difficulty,challenge,qubits,file_bytes,nonempty_qasm_lines,gates,one_qubit_gates,two_qubit_gates,measurements,gate_set,statevector_gib,peak_scan_extra_gib,exact_statevector_safe
challenges/very easy/challenge-56_9.qasm,very easy,56_9,56,7318,320,317,217,100,0,"cx,rx,rz,swap",1073741824.0,0.03125,False
challenges/very_hard/challenge-56_43.qasm,very_hard,56_43,56,620554,23007,23004,18320,4684,0,"cx,rx,rz",1073741824.0,0.03125,False
challenges/easy/challenge-64_25.qasm,easy,64_25,64,38163,1709,1706,1002,704,0,"cx,rx,rz",274877906944.0,0.03125,False
challenges/easy/challenge-64_26.qasm,easy,64_26,64,40230,1857,1854,1143,711,0,"cx,rx,rz",274877906944.0,0.03125,False
challenges/hard/challenge-64_40.qasm,hard,64_40,64,76145,3761,3758,2185,1573,0,"cx,rx,rz",274877906944.0,0.03125,False
challenges/hard/challenge-64_41.qasm,hard,64_41,64,70867,3431,3428,2000,1428,0,"cx,rx,rz",274877906944.0,0.03125,False
challenges/moderate/challenge-64_34.qasm,moderate,64_34,64,42179,1951,1948,1184,764,0,"cx,rx,rz,swap",274877906944.0,0.03125,False
challenges/very easy/challenge-64_10.qasm,very easy,64_10,64,7542,316,313,218,95,0,"cx,rx,rz,swap",274877906944.0,0.03125,False
challenges/very_hard/challenge-64_44.qasm,very_hard,64_44,64,776157,28790,28787,22943,5844,0,"cx,rx,rz",274877906944.0,0.03125,False
challenges/very_hard/challenge-72_45.qasm,very_hard,72_45,72,776255,28780,28777,22925,5852,0,"cx,rx,rz",70368744177664.0,0.03125,False
challenges/very_hard/challenge-80_46.qasm,very_hard,80_46,80,935229,34589,34586,27556,7030,0,"cx,rx,rz",1.8014398509481984e+16,0.03125,False
challenges/very_hard/challenge-88_47.qasm,very_hard,88_47,88,1017255,37663,37660,30006,7654,0,"cx,rx,rz",4.611686018427388e+18,0.03125,False
challenges/very_hard/challenge-96_48.qasm,very_hard,96_48,96,774975,28706,28703,22837,5866,0,"cx,rx,rz",1.1805916207174113e+21,0.03125,False
challenges/very_hard/challenge-104_49.qasm,very_hard,104_49,104,714512,26364,26361,20955,5406,0,"cx,rx,rz",3.022314549036573e+23,0.03125,False
