difficulty,op,bucket,nearest_pi_fraction,count
very easy,rz,numeric_loose_pi_fraction,1,11
very easy,rz,numeric_loose_pi_fraction,1/10,4
very easy,rz,numeric_loose_pi_fraction,1/11,3
very easy,rz,numeric_loose_pi_fraction,1/12,2
very easy,rz,numeric_loose_pi_fraction,1/13,1
very easy,rz,numeric_loose_pi_fraction,1/14,3
very easy,rz,numeric_loose_pi_fraction,1/15,2
very easy,rz,numeric_loose_pi_fraction,1/16,8
very easy,rz,numeric_loose_pi_fraction,1/2,53
very easy,rz,numeric_loose_pi_fraction,1/3,9
very easy,rz,numeric_loose_pi_fraction,1/4,10
very easy,rz,numeric_loose_pi_fraction,1/5,8
very easy,rz,numeric_loose_pi_fraction,1/6,4
very easy,rz,numeric_loose_pi_fraction,1/7,5
very easy,rz,numeric_loose_pi_fraction,1/8,10
very easy,rz,numeric_loose_pi_fraction,1/9,8
very easy,rz,numeric_loose_pi_fraction,10/11,3
very easy,rz,numeric_loose_pi_fraction,10/13,4
very easy,rz,numeric_loose_pi_fraction,11/12,1
very easy,rz,numeric_loose_pi_fraction,11/13,3
very easy,rz,numeric_loose_pi_fraction,11/14,4
very easy,rz,numeric_loose_pi_fraction,11/15,4
very easy,rz,numeric_loose_pi_fraction,11/16,8
very easy,rz,numeric_loose_pi_fraction,12/11,1
very easy,rz,numeric_loose_pi_fraction,12/13,2
very easy,rz,numeric_loose_pi_fraction,13/15,1
very easy,rz,numeric_loose_pi_fraction,13/16,3
very easy,rz,numeric_loose_pi_fraction,14/15,2
very easy,rz,numeric_loose_pi_fraction,15/16,5
very easy,rz,numeric_loose_pi_fraction,2/11,2
very easy,rz,numeric_loose_pi_fraction,2/13,5
very easy,rz,numeric_loose_pi_fraction,2/15,2
very easy,rz,numeric_loose_pi_fraction,2/3,5
very easy,rz,numeric_loose_pi_fraction,2/5,9
very easy,rz,numeric_loose_pi_fraction,2/7,5
very easy,rz,numeric_loose_pi_fraction,2/9,7
very easy,rz,numeric_loose_pi_fraction,3/10,8
very easy,rz,numeric_loose_pi_fraction,3/11,7
very easy,rz,numeric_loose_pi_fraction,3/13,9
very easy,rz,numeric_loose_pi_fraction,3/14,1
very easy,rz,numeric_loose_pi_fraction,3/16,5
very easy,rz,numeric_loose_pi_fraction,3/4,11
very easy,rz,numeric_loose_pi_fraction,3/5,7
very easy,rz,numeric_loose_pi_fraction,3/7,5
very easy,rz,numeric_loose_pi_fraction,3/8,5
very easy,rz,numeric_loose_pi_fraction,4/11,3
very easy,rz,numeric_loose_pi_fraction,4/13,3
very easy,rz,numeric_loose_pi_fraction,4/15,3
very easy,rz,numeric_loose_pi_fraction,4/5,3
very easy,rz,numeric_loose_pi_fraction,4/7,7
very easy,rz,numeric_loose_pi_fraction,4/9,7
very easy,rz,numeric_loose_pi_fraction,5/11,5
very easy,rz,numeric_loose_pi_fraction,5/12,7
very easy,rz,numeric_loose_pi_fraction,5/13,1
very easy,rz,numeric_loose_pi_fraction,5/14,6
very easy,rz,numeric_loose_pi_fraction,5/16,11
very easy,rz,numeric_loose_pi_fraction,5/6,2
very easy,rz,numeric_loose_pi_fraction,5/7,9
very easy,rz,numeric_loose_pi_fraction,5/8,7
very easy,rz,numeric_loose_pi_fraction,5/9,2
very easy,rz,numeric_loose_pi_fraction,6/11,3
very easy,rz,numeric_loose_pi_fraction,6/5,1
very easy,rz,numeric_loose_pi_fraction,6/7,5
very easy,rz,numeric_loose_pi_fraction,7/10,5
very easy,rz,numeric_loose_pi_fraction,7/11,2
very easy,rz,numeric_loose_pi_fraction,7/12,7
very easy,rz,numeric_loose_pi_fraction,7/13,5
very easy,rz,numeric_loose_pi_fraction,7/15,11
very easy,rz,numeric_loose_pi_fraction,7/16,4
very easy,rz,numeric_loose_pi_fraction,7/8,2
very easy,rz,numeric_loose_pi_fraction,7/9,1
very easy,rz,numeric_loose_pi_fraction,8/11,9
very easy,rz,numeric_loose_pi_fraction,8/13,7
very easy,rz,numeric_loose_pi_fraction,8/15,3
very easy,rz,numeric_loose_pi_fraction,8/9,5
very easy,rz,numeric_loose_pi_fraction,9/10,3
very easy,rz,numeric_loose_pi_fraction,9/11,4
very easy,rz,numeric_loose_pi_fraction,9/13,3
very easy,rz,numeric_loose_pi_fraction,9/14,5
very easy,rz,numeric_loose_pi_fraction,9/16,3
very easy,rz,numeric_noisy_non_fraction,-1,12
very easy,rz,numeric_noisy_non_fraction,-1/16,9
very easy,rz,numeric_noisy_non_fraction,-1/2,15
very easy,rz,numeric_noisy_non_fraction,-15/16,9
very easy,rz,numeric_noisy_non_fraction,-2/3,1
very easy,rz,numeric_noisy_non_fraction,-5/16,1
very easy,rz,numeric_noisy_non_fraction,-7/15,1
very easy,rz,numeric_noisy_non_fraction,-8/15,6
very easy,rz,numeric_noisy_non_fraction,0,35
very easy,rz,numeric_noisy_non_fraction,1,11
very easy,rz,numeric_noisy_non_fraction,1/16,9
very easy,rz,numeric_noisy_non_fraction,1/2,24
very easy,rz,numeric_noisy_non_fraction,1/3,2
very easy,rz,numeric_noisy_non_fraction,15/16,7
very easy,rz,numeric_noisy_non_fraction,17/16,1
very easy,rz,numeric_noisy_non_fraction,7/15,3
very easy,rz,numeric_noisy_non_fraction,8/15,5
very easy,rz,numeric_noisy_non_fraction,9/14,3
very easy,rz,numeric_very_close_pi_fraction,-1/2,63
very easy,rz,numeric_very_close_pi_fraction,-1/4,19
very easy,rz,numeric_very_close_pi_fraction,-3/4,21
very easy,rz,numeric_very_close_pi_fraction,1,1
very easy,rz,numeric_very_close_pi_fraction,1/2,82
very easy,rz,numeric_very_close_pi_fraction,1/3,1
very easy,rz,numeric_very_close_pi_fraction,1/4,17
very easy,rz,numeric_very_close_pi_fraction,3/4,17
very easy,rz,symbolic_pi_expr,-1/2,62
very easy,rz,symbolic_pi_expr,-1/4,9
very easy,rz,symbolic_pi_expr,-3/4,2
very easy,rz,symbolic_pi_expr,1,30
very easy,rz,symbolic_pi_expr,1/2,74
very easy,rz,symbolic_pi_expr,1/4,14
very easy,rz,symbolic_pi_expr,3/4,4
easy,rx,numeric_close_pi_fraction,-1,1
easy,rx,numeric_close_pi_fraction,-1/10,1
easy,rx,numeric_close_pi_fraction,-1/2,26
easy,rx,numeric_close_pi_fraction,-1/3,1
easy,rx,numeric_close_pi_fraction,-1/4,7
easy,rx,numeric_close_pi_fraction,-11/12,1
easy,rx,numeric_close_pi_fraction,-13/15,2
easy,rx,numeric_close_pi_fraction,-13/16,1
easy,rx,numeric_close_pi_fraction,-2/3,1
easy,rx,numeric_close_pi_fraction,-3/4,6
easy,rx,numeric_close_pi_fraction,-4/15,1
easy,rx,numeric_close_pi_fraction,-4/9,1
easy,rx,numeric_close_pi_fraction,-5/6,1
easy,rx,numeric_close_pi_fraction,-7/11,2
easy,rx,numeric_close_pi_fraction,-8/13,1
easy,rx,numeric_close_pi_fraction,-9/13,1
easy,rx,numeric_close_pi_fraction,0,11
easy,rx,numeric_close_pi_fraction,1,2
easy,rx,numeric_close_pi_fraction,1/14,1
easy,rx,numeric_close_pi_fraction,1/15,1
easy,rx,numeric_close_pi_fraction,1/2,39
easy,rx,numeric_close_pi_fraction,1/4,15
easy,rx,numeric_close_pi_fraction,1/9,1
easy,rx,numeric_close_pi_fraction,2/11,1
easy,rx,numeric_close_pi_fraction,2/3,2
easy,rx,numeric_close_pi_fraction,2/5,1
easy,rx,numeric_close_pi_fraction,3/4,16
easy,rx,numeric_close_pi_fraction,5/11,1
easy,rx,numeric_close_pi_fraction,5/13,2
easy,rx,numeric_close_pi_fraction,5/6,1
easy,rx,numeric_close_pi_fraction,6/11,1
easy,rx,numeric_close_pi_fraction,8/11,3
easy,rx,numeric_close_pi_fraction,8/9,1
easy,rx,numeric_close_pi_fraction,9/10,1
easy,rx,numeric_exact_pi_fraction,-1/2,38
easy,rx,numeric_exact_pi_fraction,-1/4,7
easy,rx,numeric_exact_pi_fraction,-3/4,9
easy,rx,numeric_exact_pi_fraction,1/2,54
easy,rx,numeric_exact_pi_fraction,1/3,1
easy,rx,numeric_exact_pi_fraction,1/4,11
easy,rx,numeric_exact_pi_fraction,3/4,4
easy,rx,numeric_loose_pi_fraction,-1,32
easy,rx,numeric_loose_pi_fraction,-1/10,6
easy,rx,numeric_loose_pi_fraction,-1/11,9
easy,rx,numeric_loose_pi_fraction,-1/12,2
easy,rx,numeric_loose_pi_fraction,-1/13,3
easy,rx,numeric_loose_pi_fraction,-1/14,4
easy,rx,numeric_loose_pi_fraction,-1/15,4
easy,rx,numeric_loose_pi_fraction,-1/16,6
easy,rx,numeric_loose_pi_fraction,-1/2,58
easy,rx,numeric_loose_pi_fraction,-1/3,16
easy,rx,numeric_loose_pi_fraction,-1/4,17
easy,rx,numeric_loose_pi_fraction,-1/5,6
easy,rx,numeric_loose_pi_fraction,-1/6,9
easy,rx,numeric_loose_pi_fraction,-1/7,5
easy,rx,numeric_loose_pi_fraction,-1/8,6
easy,rx,numeric_loose_pi_fraction,-1/9,5
easy,rx,numeric_loose_pi_fraction,-10/11,9
easy,rx,numeric_loose_pi_fraction,-10/13,5
easy,rx,numeric_loose_pi_fraction,-11/10,1
easy,rx,numeric_loose_pi_fraction,-11/12,3
easy,rx,numeric_loose_pi_fraction,-11/13,9
easy,rx,numeric_loose_pi_fraction,-11/14,2
easy,rx,numeric_loose_pi_fraction,-11/15,6
easy,rx,numeric_loose_pi_fraction,-11/16,7
easy,rx,numeric_loose_pi_fraction,-12/13,1
easy,rx,numeric_loose_pi_fraction,-13/14,3
easy,rx,numeric_loose_pi_fraction,-13/15,5
easy,rx,numeric_loose_pi_fraction,-13/16,10
easy,rx,numeric_loose_pi_fraction,-14/15,2
easy,rx,numeric_loose_pi_fraction,-15/13,1
easy,rx,numeric_loose_pi_fraction,-15/14,1
easy,rx,numeric_loose_pi_fraction,-15/16,5
easy,rx,numeric_loose_pi_fraction,-2/11,6
easy,rx,numeric_loose_pi_fraction,-2/13,6
easy,rx,numeric_loose_pi_fraction,-2/15,1
easy,rx,numeric_loose_pi_fraction,-2/3,14
easy,rx,numeric_loose_pi_fraction,-2/5,10
easy,rx,numeric_loose_pi_fraction,-2/7,10
easy,rx,numeric_loose_pi_fraction,-2/9,2
easy,rx,numeric_loose_pi_fraction,-3/10,8
easy,rx,numeric_loose_pi_fraction,-3/11,10
easy,rx,numeric_loose_pi_fraction,-3/13,9
easy,rx,numeric_loose_pi_fraction,-3/14,11
easy,rx,numeric_loose_pi_fraction,-3/16,3
