file_a,difficulty_a,file_b,difficulty_b,op_5gram_cosine
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.42424243
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.50143628
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.51848214
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.45751313
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.48943920
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.40895877
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.34947999
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.40896694
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.39135930
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.44276435
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.47051262
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.40565621
challenges/very easy/challenge-8_1.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.50545557
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.43886143
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.40188599
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.40746485
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-56_38.qasm,hard,0.27371680
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-56_39.qasm,hard,0.39307465
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-64_40.qasm,hard,0.42419514
challenges/very easy/challenge-8_1.qasm,very easy,challenges/hard/challenge-64_41.qasm,hard,0.35580549
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-48_42.qasm,very_hard,0.24120028
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-56_43.qasm,very_hard,0.18335830
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-64_44.qasm,very_hard,0.23894431
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-72_45.qasm,very_hard,0.25532319
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-80_46.qasm,very_hard,0.25265994
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-88_47.qasm,very_hard,0.25272046
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-96_48.qasm,very_hard,0.23804833
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very_hard/challenge-104_49.qasm,very_hard,0.24485903
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-24_3.qasm,very easy,0.65618417
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-28_4.qasm,very easy,0.43575038
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-32_5.qasm,very easy,0.75797516
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-36_6.qasm,very easy,0.43774652
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.45688416
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.55588334
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.61220796
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.60509244
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.51440917
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.56361444
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.68212402
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.78523845
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.42874960
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.73180712
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.72393910
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.70441399
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.67846734
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.68100550
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.63648041
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.77216298
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.74000918
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.72546066
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.73638484
challenges/very easy/challenge-16_2.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.69467453
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.62087950
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.57889822
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.65484010
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.69217887
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.71830691
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.78014107
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.68109040
challenges/very easy/challenge-16_2.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.80248550
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.71587378
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.66726828
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.72276737
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-56_38.qasm,hard,0.54363933
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-56_39.qasm,hard,0.62882544
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-64_40.qasm,hard,0.70578569
challenges/very easy/challenge-16_2.qasm,very easy,challenges/hard/challenge-64_41.qasm,hard,0.55203179
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-48_42.qasm,very_hard,0.37361641
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-56_43.qasm,very_hard,0.31781014
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-64_44.qasm,very_hard,0.37860778
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-72_45.qasm,very_hard,0.39155625
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-80_46.qasm,very_hard,0.39053135
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-88_47.qasm,very_hard,0.37963712
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-96_48.qasm,very_hard,0.37787003
challenges/very easy/challenge-16_2.qasm,very easy,challenges/very_hard/challenge-104_49.qasm,very_hard,0.39245390
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-28_4.qasm,very easy,0.61428520
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-32_5.qasm,very easy,0.76027820
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-36_6.qasm,very easy,0.59276579
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.60564466
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.64816275
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.66325324
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.72445730
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.53796931
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.58943152
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.73396903
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.79457739
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.62683742
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.81677802
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.76170311
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.78418410
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.75258692
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.72160595
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.72135165
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.77398928
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.84773852
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.81040656
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.79211887
challenges/very easy/challenge-24_3.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.76540857
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.61241362
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.59283327
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.71740992
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.72545644
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.77051156
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.79474032
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.74069591
challenges/very easy/challenge-24_3.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.83498075
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.76804487
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.73170327
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.75692325
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-56_38.qasm,hard,0.55437831
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-56_39.qasm,hard,0.68600241
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-64_40.qasm,hard,0.75010640
challenges/very easy/challenge-24_3.qasm,very easy,challenges/hard/challenge-64_41.qasm,hard,0.61769901
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-48_42.qasm,very_hard,0.55319236
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-56_43.qasm,very_hard,0.40247208
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-64_44.qasm,very_hard,0.53951145
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-72_45.qasm,very_hard,0.55859418
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-80_46.qasm,very_hard,0.55918063
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-88_47.qasm,very_hard,0.55563283
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-96_48.qasm,very_hard,0.54342828
challenges/very easy/challenge-24_3.qasm,very easy,challenges/very_hard/challenge-104_49.qasm,very_hard,0.54749422
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-32_5.qasm,very easy,0.52094312
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-36_6.qasm,very easy,0.84275169
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.62556805
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.49462970
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.59706198
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.62047531
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.44386176
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.42564682
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.51985151
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.62162297
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.89716424
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.59262660
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.54797540
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.61991058
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.55861751
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.53013120
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.52214741
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.52176567
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.57044938
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.57996943
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.57645275
challenges/very easy/challenge-28_4.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.58668264
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.50418340
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.49786767
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.54509358
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.54352985
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.55529449
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.56810602
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.51818563
challenges/very easy/challenge-28_4.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.61189541
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.58103780
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.57612950
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.57662703
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-56_38.qasm,hard,0.43147423
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-56_39.qasm,hard,0.56306968
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-64_40.qasm,hard,0.56534704
challenges/very easy/challenge-28_4.qasm,very easy,challenges/hard/challenge-64_41.qasm,hard,0.51140818
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-48_42.qasm,very_hard,0.90702374
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-56_43.qasm,very_hard,0.86849592
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-64_44.qasm,very_hard,0.89325902
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-72_45.qasm,very_hard,0.90222150
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-80_46.qasm,very_hard,0.90326406
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-88_47.qasm,very_hard,0.89823360
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-96_48.qasm,very_hard,0.90387693
challenges/very easy/challenge-28_4.qasm,very easy,challenges/very_hard/challenge-104_49.qasm,very_hard,0.89091756
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very easy/challenge-36_6.qasm,very easy,0.50188632
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.55429667
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.61275906
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.71811030
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.72407257
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.49301395
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.68855834
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.78780597
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.81643837
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.52199727
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.82756933
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.77433568
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.85199355
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.76443447
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.75292490
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.78609282
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.88446672
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.85080981
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.76897938
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.89021897
challenges/very easy/challenge-32_5.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.84443026
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.76115057
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.77477049
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.82434952
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.83546431
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.83255680
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.84434150
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.81853360
challenges/very easy/challenge-32_5.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.87533494
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.83998389
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.82485676
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.84233140
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-56_38.qasm,hard,0.71622753
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-56_39.qasm,hard,0.80678064
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-64_40.qasm,hard,0.85030006
challenges/very easy/challenge-32_5.qasm,very easy,challenges/hard/challenge-64_41.qasm,hard,0.75600849
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-48_42.qasm,very_hard,0.47322461
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-56_43.qasm,very_hard,0.38335348
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-64_44.qasm,very_hard,0.47437011
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-72_45.qasm,very_hard,0.47517637
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-80_46.qasm,very_hard,0.47720411
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-88_47.qasm,very_hard,0.48019987
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-96_48.qasm,very_hard,0.46523778
challenges/very easy/challenge-32_5.qasm,very easy,challenges/very_hard/challenge-104_49.qasm,very_hard,0.47880039
challenges/very easy/challenge-36_6.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.53264583
challenges/very easy/challenge-36_6.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.51856921
challenges/very easy/challenge-36_6.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.52001366
challenges/very easy/challenge-36_6.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.57860314
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.39240918
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.37063648
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.46599515
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.55947566
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.78793347
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.54567506
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.49830698
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.55304333
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.52515374
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.51461217
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.49048658
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-56_22.qasm,easy,0.51633077
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-56_23.qasm,easy,0.53477444
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-56_24.qasm,easy,0.52530570
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-64_25.qasm,easy,0.55342139
challenges/very easy/challenge-36_6.qasm,very easy,challenges/easy/challenge-64_26.qasm,easy,0.55812197
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-8_27.qasm,moderate,0.46501529
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-16_28.qasm,moderate,0.42305031
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-24_29.qasm,moderate,0.48140889
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-32_30.qasm,moderate,0.50359288
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-48_31.qasm,moderate,0.48616431
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-48_32.qasm,moderate,0.52779232
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-56_33.qasm,moderate,0.47187982
challenges/very easy/challenge-36_6.qasm,very easy,challenges/moderate/challenge-64_34.qasm,moderate,0.56123257
challenges/very easy/challenge-36_6.qasm,very easy,challenges/hard/challenge-40_35.qasm,hard,0.52458562
challenges/very easy/challenge-36_6.qasm,very easy,challenges/hard/challenge-48_36.qasm,hard,0.51856972
challenges/very easy/challenge-36_6.qasm,very easy,challenges/hard/challenge-48_37.qasm,hard,0.51894080
