path,difficulty,file,q0,q1,distance,count_undirected_entangling,cx_forward,cx_reverse,swap_count,first_gate_index,last_gate_index,span_fraction
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,1,2,1,2,1,1,0,93,101,0.02597403
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,10,11,1,2,2,0,0,113,124,0.03571429
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,4,9,5,2,0,2,0,145,177,0.10389610
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,7,4,2,0,2,0,156,164,0.02597403
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,9,13,4,2,2,0,0,170,185,0.04870130
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,14,11,2,2,0,0,173,210,0.12012987
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,10,15,5,2,2,0,0,191,254,0.20454545
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,15,10,2,2,0,0,192,255,0.20454545
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,8,9,1,2,2,0,0,247,275,0.09090909
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,12,13,1,2,2,0,0,272,277,0.01623377
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,13,8,1,0,1,0,69,69,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,9,4,1,1,0,0,146,146,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,10,5,1,1,0,0,155,155,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,6,3,1,1,0,0,172,172,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,4,12,8,1,0,1,0,176,176,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,10,13,3,1,1,0,0,184,184,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,7,15,8,1,1,0,0,258,258,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,13,11,1,1,0,0,296,296,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,15,13,1,1,0,0,298,298,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,8,10,2,7,4,3,0,127,183,0.15426997
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,17,18,1,6,5,1,0,57,104,0.12947658
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,13,18,5,6,2,4,0,60,244,0.50688705
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,15,21,6,5,4,1,1,116,359,0.66942149
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,0,1,1,5,3,2,0,225,308,0.22865014
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,4,5,1,4,3,1,0,14,214,0.55096419
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,7,12,5,4,2,2,0,42,92,0.13774105
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,15,14,4,2,2,0,53,146,0.25619835
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,7,18,11,4,4,0,0,63,83,0.05509642
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,13,17,4,4,1,3,0,65,345,0.77134986
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,2,10,8,4,1,3,0,126,177,0.14049587
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,6,10,4,3,1,2,0,32,38,0.01652893
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,12,18,6,3,1,2,0,64,96,0.08815427
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,21,20,3,0,3,0,137,189,0.14325069
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,5,16,11,3,3,0,0,198,218,0.05509642
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,0,22,22,3,1,2,0,284,340,0.15426997
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,12,14,2,3,1,2,1,293,331,0.10468320
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,17,16,3,3,0,0,307,320,0.03581267
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,3,6,3,2,1,1,0,20,33,0.03581267
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,6,9,3,2,0,2,0,36,155,0.32782369
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,2,15,13,2,2,0,0,50,124,0.20385675
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,12,13,1,2,2,0,0,79,91,0.03305785
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,8,18,10,2,2,0,0,101,108,0.01928375
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,2,9,7,2,2,0,0,125,150,0.06887052
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,9,21,12,2,1,1,0,191,253,0.17079890
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,16,22,6,2,1,1,0,197,264,0.18457300
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,14,16,2,2,1,1,0,200,237,0.10192837
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,5,4,2,0,2,0,221,227,0.01652893
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,4,13,9,2,0,2,0,229,231,0.00550964
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,20,21,1,2,2,0,0,247,250,0.00826446
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,4,16,12,2,2,0,0,268,271,0.00826446
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,4,18,14,2,0,2,0,277,279,0.00550964
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,17,23,6,2,0,2,0,288,344,0.15426997
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,12,17,5,2,0,2,0,291,296,0.01377410
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,23,22,2,0,2,0,301,342,0.11294766
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,12,11,2,0,2,0,321,327,0.01652893
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,17,22,5,2,1,1,0,336,347,0.03030303
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,5,22,17,2,2,0,0,350,355,0.01377410
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,3,8,5,1,1,0,0,26,26,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,3,10,7,1,0,1,0,39,39,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,7,13,6,1,1,0,0,80,80,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,4,20,16,1,1,0,0,113,113,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,2,21,19,1,1,0,0,149,149,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,5,20,15,1,1,0,0,211,211,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,18,17,1,1,0,0,223,223,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,0,18,18,1,1,0,0,240,240,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,14,17,3,1,1,0,0,290,290,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,1,14,13,1,0,1,0,324,324,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,0,17,17,1,1,0,0,334,334,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,5,17,12,1,1,0,0,337,337,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,22,23,1,1,0,1,0,349,349,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,13,22,9,1,1,0,0,351,351,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,21,22,1,1,1,0,1,357,357,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,17,21,4,1,1,0,1,358,358,0.00000000
challenges/very easy/challenge-24_3.qasm,very easy,challenge-24_3.qasm,0,15,15,1,1,0,1,360,360,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,5,3,6,6,0,0,141,1100,0.78606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,24,19,6,6,0,0,162,1127,0.79098361
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,16,16,5,4,1,0,73,1067,0.81475410
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,21,23,2,4,3,1,0,107,1209,0.90327869
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,10,8,4,4,0,0,171,744,0.46967213
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,19,22,3,4,4,0,0,197,878,0.55819672
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,10,5,4,2,2,0,275,1065,0.64754098
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,17,25,8,4,2,2,0,579,1027,0.36721311
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,25,15,4,4,0,0,584,1111,0.43196721
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,10,9,4,0,4,0,672,1159,0.39918033
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,25,20,3,2,1,0,119,529,0.33606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,6,3,3,1,2,0,123,1201,0.88360656
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,7,7,3,2,1,0,150,1090,0.77049180
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,14,11,3,3,0,0,158,363,0.16803279
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,2,1,3,1,2,0,204,690,0.39836066
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,20,19,3,1,2,0,210,233,0.01885246
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,12,1,3,3,0,0,266,1192,0.75901639
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,11,10,3,0,3,0,398,1099,0.57459016
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,16,11,3,2,1,0,609,1088,0.39262295
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,16,9,3,3,0,0,626,976,0.28688525
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,12,16,4,3,2,1,0,655,1110,0.37295082
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,15,6,3,1,2,0,825,1066,0.19754098
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,12,12,3,1,2,0,975,1051,0.06229508
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,23,21,2,2,0,0,69,479,0.33606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,13,7,2,2,0,0,72,457,0.31557377
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,15,19,4,2,2,0,0,74,495,0.34508197
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,25,16,2,2,0,0,78,575,0.40737705
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,26,19,2,2,0,0,79,445,0.30000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,13,3,2,2,0,0,93,381,0.23606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,15,9,2,2,0,0,95,446,0.28770492
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,16,7,2,2,0,0,99,516,0.34180328
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,26,26,2,2,0,0,111,423,0.25573770
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,25,9,2,2,0,0,127,513,0.31639344
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,24,24,2,1,1,0,133,376,0.19918033
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,16,14,2,2,0,0,160,380,0.18032787
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,25,27,2,2,2,0,0,163,510,0.28442623
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,19,25,6,2,2,0,0,177,481,0.24918033
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,10,10,2,2,0,0,180,351,0.14016393
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,26,27,1,2,0,2,0,183,400,0.17786885
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,22,25,3,2,2,0,0,188,471,0.23196721
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,14,4,2,2,0,0,190,335,0.11885246
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,25,23,2,2,0,0,206,231,0.02049180
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,23,25,2,2,2,0,0,209,462,0.20737705
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,18,23,5,2,2,0,0,214,444,0.18852459
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,8,18,10,2,2,0,0,215,399,0.15081967
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,25,24,2,2,0,0,217,226,0.00737705
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,15,18,3,2,2,0,0,218,422,0.16721311
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,22,23,1,2,2,0,0,222,296,0.06065574
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,18,27,9,2,2,0,0,232,370,0.11311475
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,21,27,6,2,2,0,0,243,326,0.06803279
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,4,18,14,2,2,0,0,247,349,0.08360656
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,18,9,2,2,0,0,257,336,0.06475410
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,21,10,2,2,0,0,258,298,0.03278689
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,18,8,2,0,2,0,267,314,0.03852459
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,11,5,2,0,2,0,268,290,0.01803279
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,12,6,2,2,0,0,273,303,0.02459016
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,27,16,2,2,0,0,274,282,0.00655738
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,23,18,2,2,0,0,281,286,0.00409836
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,24,21,2,2,0,0,406,863,0.37459016
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,26,20,2,2,0,0,469,477,0.00655738
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,14,19,5,2,2,0,0,500,757,0.21065574
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,4,14,10,2,0,2,0,502,729,0.18606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,13,23,10,2,2,0,0,507,780,0.22377049
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,21,16,2,2,0,0,532,891,0.29426230
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,18,13,2,2,0,0,535,877,0.28032787
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,22,17,2,2,0,0,538,862,0.26557377
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,12,18,6,2,1,1,0,543,849,0.25081967
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,12,13,1,2,2,0,0,545,739,0.15901639
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,18,17,2,0,2,0,548,831,0.23196721
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,21,21,2,2,0,0,555,832,0.22704918
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,8,8,2,2,0,0,557,770,0.17459016
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,21,20,2,1,1,0,563,818,0.20901639
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,22,19,2,0,2,0,571,848,0.22704918
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,27,25,2,2,0,0,593,896,0.24836066
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,27,20,2,2,0,0,598,884,0.23442623
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,20,13,2,0,2,0,601,861,0.21311475
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,9,2,2,2,0,0,603,816,0.17459016
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,20,4,2,0,2,0,607,850,0.19918033
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,11,6,2,2,0,0,612,788,0.14426230
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,4,11,7,2,2,0,0,618,711,0.07622951
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,22,6,2,2,0,0,623,823,0.16393443
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,7,5,2,2,0,0,629,764,0.11065574
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,5,15,10,2,2,0,0,641,688,0.03852459
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,21,12,2,0,2,0,647,795,0.12131148
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,21,5,2,0,2,0,649,762,0.09262295
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,8,16,8,2,2,0,0,651,740,0.07295082
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,22,12,2,2,0,0,657,723,0.05409836
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,17,24,7,2,2,0,0,661,726,0.05327869
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,17,1,2,2,0,0,664,704,0.03278689
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,27,26,2,2,0,0,669,735,0.05409836
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,17,18,1,2,2,0,0,675,692,0.01393443
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,4,3,2,0,2,0,678,702,0.01967213
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,15,17,2,2,0,2,0,679,686,0.00573770
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,19,9,2,2,0,0,893,1172,0.22868852
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,13,22,9,2,1,1,0,894,1182,0.23606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,18,7,2,2,0,0,898,1199,0.24672131
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,7,4,2,0,2,0,903,1215,0.25573770
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,8,13,5,2,2,0,0,919,1160,0.19754098
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,18,16,2,2,0,0,922,1115,0.15819672
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,24,17,2,2,0,0,931,1158,0.18606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,23,20,2,2,0,0,949,1191,0.19836066
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,7,22,15,2,2,0,0,951,1112,0.13196721
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,4,12,8,2,2,0,0,953,1139,0.15245902
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,26,25,2,2,0,0,954,1123,0.13852459
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,27,17,2,2,0,0,971,1089,0.09672131
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,11,8,2,0,2,0,982,1168,0.15245902
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,8,11,3,2,2,0,0,995,1143,0.12131148
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,8,17,9,2,2,0,0,1001,1021,0.01639344
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,23,12,2,2,0,0,1009,1114,0.08606557
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,10,15,5,2,2,0,0,1023,1056,0.02704918
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,10,7,2,2,0,0,1029,1046,0.01393443
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,23,22,2,2,0,0,1037,1082,0.03688525
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,16,23,7,2,0,2,0,1055,1064,0.00737705
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,11,20,9,1,1,0,0,75,75,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,14,20,6,1,0,1,0,86,86,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,3,9,6,1,1,0,0,140,140,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,22,21,1,1,0,0,199,199,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,2,20,18,1,0,1,0,245,245,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,20,22,2,1,1,0,0,315,315,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,1,3,2,1,0,1,0,374,374,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,14,5,1,0,1,0,395,395,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,14,8,1,0,1,0,420,420,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,9,27,18,1,0,1,0,590,590,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,15,27,12,1,1,0,0,933,933,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,6,6,1,1,0,0,950,950,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,0,5,5,1,1,0,0,996,996,0.00000000
challenges/very easy/challenge-28_4.qasm,very easy,challenge-28_4.qasm,6,16,10,1,0,1,0,1140,1140,0.00000000
