challenge	rank	bitstring	count	shot_fraction	stored_fraction
32_5	16	00101000101010100001000000010000	179	0.0072835286	0.0081821091
32_5	17	00110000101011100001000001011000	179	0.0072835286	0.0081821091
32_5	18	01111100101011000001000000010000	160	0.0065104167	0.007313617
32_5	19	00111000101010000000010000010000	152	0.0061848958	0.0069479362
32_5	20	00111010101011000000010000010000	148	0.0060221354	0.0067650958
36_6	1	100110100111101001001101110011001000	16958	0.69002279	0.69002279
36_6	2	100110100111101001001101110011001010	1689	0.068725586	0.068725586
36_6	3	100110100111101001001101110111001000	865	0.03519694	0.03519694
36_6	4	100110000111101001001101110011000000	650	0.026448568	0.026448568
36_6	5	100110100111101001001101110010001000	582	0.023681641	0.023681641
36_6	6	100110100111101001011101110011001000	481	0.01957194	0.01957194
36_6	7	100110100111101001001101010111001000	374	0.015218099	0.015218099
36_6	8	100110100111101001001101110011000000	287	0.01167806	0.01167806
36_6	9	100110000111101001001101110011001000	270	0.010986328	0.010986328
36_6	10	100110100111001001001101110011001000	256	0.010416667	0.010416667
36_6	11	100110100111101001001101110001001000	202	0.008219401	0.008219401
36_6	12	100110100111001001001101110011000000	118	0.0048014323	0.0048014323
36_6	13	000110100111101001001101110011101000	117	0.0047607422	0.0047607422
36_6	14	100110100111101001001101110011101000	108	0.0043945312	0.0043945312
36_6	15	100110100111101001001101110111001010	104	0.0042317708	0.0042317708
36_6	16	000110100111101001001101110011001000	72	0.0029296875	0.0029296875
36_6	17	100110000111101001001101110011000010	67	0.002726237	0.002726237
36_6	18	100110100111101001000101110111001000	63	0.0025634766	0.0025634766
36_6	19	100110100111101001001101110010001010	57	0.0023193359	0.0023193359
36_6	20	000110100111101001001101110001001000	53	0.0021565755	0.0021565755
40_7	1	0110111011010001010011111110010011000111	21691	0.88260905	0.88260905
40_7	2	0110111011010001010011111110000011000011	1109	0.045125326	0.045125326
40_7	3	0110111011010000010011111110010011000111	323	0.013142904	0.013142904
40_7	4	0110111011010001010001111110010011000111	292	0.01188151	0.01188151
40_7	5	0110111011010001010011111110000011000111	249	0.010131836	0.010131836
40_7	6	0110111011011001010011111110010011000111	241	0.0098063151	0.0098063151
40_7	7	0110111011010001010011111110010011000011	191	0.0077718099	0.0077718099
40_7	8	0110111011010000010001111110010011000111	103	0.0041910807	0.0041910807
40_7	9	0110111011010001011011111110010011000111	73	0.0029703776	0.0029703776
40_7	10	0110111011010001010011111110010111000111	38	0.001546224	0.001546224
40_7	11	1110111011010001010011111100010011000111	33	0.0013427734	0.0013427734
40_7	12	0110111011010001010011111110011011000111	26	0.0010579427	0.0010579427
40_7	13	0110111011010000010011111110000011000011	18	0.00073242188	0.00073242188
40_7	14	0110111111010001010011111110010011000111	17	0.00069173177	0.00069173177
40_7	15	0110111011010001010011101100010011000111	16	0.00065104167	0.00065104167
40_7	16	0110111011011001010011111110000011000011	16	0.00065104167	0.00065104167
40_7	17	0110111011010001010001111110000011000011	13	0.00052897135	0.00052897135
40_7	18	0110111011010001000011011110010011000111	11	0.00044759115	0.00044759115
40_7	19	0110111011110001010011111110010011000111	11	0.00044759115	0.00044759115
40_7	20	0110111011010001010011111110010011000101	10	0.00040690104	0.00040690104
48_8	1	000100100110111001001111111100101011001110010100	17038	0.69327799	0.69327799
48_8	2	000100100110110001001111111100101111001110010100	1738	0.070719401	0.070719401
48_8	3	000100100110111011001111111100101011001110010100	1305	0.053100586	0.053100586
48_8	4	000100100110111001001111111100101001001110010100	921	0.037475586	0.037475586
48_8	5	000100100110111000001111111100101011001110010100	695	0.028279622	0.028279622
48_8	6	000100100110111001001111111100101011001010010100	622	0.025309245	0.025309245
48_8	7	000101100110111001001111111100101011001110010100	515	0.020955404	0.020955404
48_8	8	000100100110111001001111111100101011001110010101	148	0.0060221354	0.0060221354
48_8	9	000100100110110011001111111100101111001110010100	127	0.0051676432	0.0051676432
48_8	10	000100100110110001001111111100101101001110010100	99	0.0040283203	0.0040283203
48_8	11	000100100110110000001111111100101111001110010100	81	0.0032958984	0.0032958984
48_8	12	000100100110111001001111111101100011001110010100	65	0.0026448568	0.0026448568
48_8	13	000100100110111001001111111100100111001110010100	63	0.0025634766	0.0025634766
48_8	14	000100100110111011001111111100101001001110010100	56	0.0022786458	0.0022786458
48_8	15	000100100110110001001111111110101011001110010100	56	0.0022786458	0.0022786458
48_8	16	000100100110110001001111111100101111001010010100	55	0.0022379557	0.0022379557
48_8	17	000100100110111001001111111100101010001110010100	53	0.0021565755	0.0021565755
48_8	18	000101100110110001001111111100101111001110010100	52	0.0021158854	0.0021158854
48_8	19	000100100110111000001111111100101001001110010100	48	0.001953125	0.001953125
48_8	20	000100100110111001001101111100101011001110010100	42	0.0017089844	0.0017089844
56_9	1	10010110101100101110100110010110011101100110001101010100	18926	0.77010091	0.77010091
56_9	2	10010110101100101110100110010110011111100110001101010100	1573	0.064005534	0.064005534
56_9	3	10010110101110101110100110010110011101100110001101010100	594	0.024169922	0.024169922
56_9	4	10010110101100101110100110010110011101100111001001010100	343	0.013956706	0.013956706
56_9	5	10010110101100101110100110010110011101100110001001010100	343	0.013956706	0.013956706
56_9	6	10010110101100101110100110110110011101100111001001010100	302	0.012288411	0.012288411
56_9	7	10010110101100101110100110110110011101100110001001010100	284	0.01155599	0.01155599
56_9	8	10010110101100101110100110010110011101100111001101010100	249	0.010131836	0.010131836
56_9	9	10010100101100111110100110010110011101100110001111010100	158	0.0064290365	0.0064290365
56_9	10	10010100101100101110100110010110011101100110001111010100	152	0.0061848958	0.0061848958
56_9	11	10010100101100101110100110010110011101100110001101010100	147	0.0059814453	0.0059814453
56_9	12	10010100101100111110100110010110011101100110001101010100	144	0.005859375	0.005859375
56_9	13	10010110101100101110100110010110011111000110001101010100	140	0.0056966146	0.0056966146
56_9	14	10010110101100101110100110010110011100100110001101010100	118	0.0048014323	0.0048014323
56_9	15	10110110101100101110100110010110011101100110001101010101	85	0.0034586589	0.0034586589
56_9	16	10110110101100101110100110010110011101100110001101010100	61	0.0024820964	0.0024820964
56_9	17	10010110101110101110100110010110011111100110001101010100	58	0.002360026	0.002360026
56_9	18	10010110101100101110100010010110011101100110001101010100	50	0.0020345052	0.0020345052
56_9	19	10010110101101101110100110010110011101100110001101010100	41	0.0016682943	0.0016682943
56_9	20	10010110101100001110100110000110011101100110001101010100	38	0.001546224	0.001546224
64_10	1	0011010010110001110010111001100100101100010111110110010100101011	18872	0.76790365	0.76790365
64_10	2	0011010010110001110010111001100100101100010011110110010100101011	653	0.026570638	0.026570638
64_10	3	0011010010110001110010101001100100101100010111110110010100101011	646	0.026285807	0.026285807
64_10	4	0011010010110001111010101001100100101100010111110110010100101011	609	0.024780273	0.024780273
64_10	5	0011010010110001110010111011100100101100010111110110010100101011	426	0.017333984	0.017333984
64_10	6	0011010010110001110010111001100100101100010111110110010100111011	407	0.016560872	0.016560872
64_10	7	0011010110110001110010111001100100101100010111110110010110101011	393	0.015991211	0.015991211
64_10	8	0011010010110001110010111011100100101100010111110110010110101011	353	0.014363607	0.014363607
64_10	9	0011010110110001110010111011100100101100010111110110010110101011	353	0.014363607	0.014363607
64_10	10	0011010010110101110010111001100100101100010111110110010100101011	271	0.011027018	0.011027018
64_10	11	0011010010110001110010111001100100101100010111110110010110101011	169	0.0068766276	0.0068766276
64_10	12	0011010110110001110010111011100100101100010111110110010100101011	119	0.0048421224	0.0048421224
64_10	13	0011011010110001110010111001100100101100010111110110010100101011	104	0.0042317708	0.0042317708
64_10	14	0011010110110001110010111001100100101100010111110110010100101011	100	0.0040690104	0.0040690104
64_10	15	0111010010110001110010111001100100101100010111110110010100111011	97	0.0039469401	0.0039469401
64_10	16	0011010010110000110010111001100100101100010111110110010100101011	51	0.0020751953	0.0020751953
64_10	17	0011010010110001110010111001100100101100010111110110010100101001	51	0.0020751953	0.0020751953
64_10	18	0011010010110001110010101000100100101100010111110110010100101011	50	0.0020345052	0.0020345052
64_10	19	0011010010110001110010111001100100101100010111110110010100101010	44	0.0017903646	0.0017903646
64_10	20	0011011010110001110010111001100100101100010111110110010100101010	44	0.0017903646	0.0017903646
8_11	1	01001110	22567	0.55095215	0.55095215
8_11	2	01101111	2724	0.066503906	0.066503906
8_11	3	01100110	1561	0.038110352	0.038110352
8_11	4	10101110	1443	0.035229492	0.035229492
8_11	5	00001110	1428	0.034863281	0.034863281
8_11	6	11101110	1204	0.029394531	0.029394531
8_11	7	01001111	973	0.023754883	0.023754883
8_11	8	01000111	825	0.020141602	0.020141602
8_11	9	10101111	811	0.019799805	0.019799805
8_11	10	10100111	685	0.016723633	0.016723633
8_11	11	10001110	603	0.01472168	0.01472168
8_11	12	11101111	586	0.014306641	0.014306641
8_11	13	10000111	540	0.013183594	0.013183594
8_11	14	01001010	491	0.011987305	0.011987305
8_11	15	11100111	451	0.011010742	0.011010742
8_11	16	01101110	439	0.010717773	0.010717773
8_11	17	11001110	433	0.010571289	0.010571289
8_11	18	11000111	429	0.010473633	0.010473633
8_11	19	10100110	396	0.0096679688	0.0096679688
8_11	20	11100110	324	0.0079101562	0.0079101562
16_12	1	1111000101101011	18889	0.46115723	0.46115723
16_12	2	1111010101101011	2883	0.070385742	0.070385742
16_12	3	1111010101101010	2735	0.066772461	0.066772461
16_12	4	1011000101101011	2719	0.066381836	0.066381836
16_12	5	1110010101101011	2162	0.052783203	0.052783203
16_12	6	1111000101101010	1638	0.039990234	0.039990234
16_12	7	1010000101101010	968	0.023632812	0.023632812
16_12	8	1011000100101011	939	0.022924805	0.022924805
16_12	9	1110000101101010	863	0.021069336	0.021069336
16_12	10	1111100001101011	825	0.020141602	0.020141602
16_12	11	1011000101101010	573	0.013989258	0.013989258
16_12	12	1010010101101010	529	0.012915039	0.012915039
16_12	13	1110000101101011	482	0.011767578	0.011767578
16_12	14	1011000001101011	434	0.010595703	0.010595703
16_12	15	1111000111101011	329	0.0080322266	0.0080322266
16_12	16	1011010101101011	297	0.0072509766	0.0072509766
16_12	17	1011100001101011	247	0.0060302734	0.0060302734
16_12	18	1111010111101011	197	0.0048095703	0.0048095703
16_12	19	1011010100101011	183	0.0044677734	0.0044677734
16_12	20	1010010101101011	170	0.0041503906	0.0041503906
24_13	1	111110011111001011010001	24464	0.59726563	0.59726563
24_13	2	111110111101001011010001	1827	0.044604492	0.044604492
24_13	3	111110011110001011010101	1199	0.029272461	0.029272461
24_13	4	011100011110011011011001	1110	0.027099609	0.027099609
24_13	5	111110011110011011011001	1065	0.026000977	0.026000977
24_13	6	111100011110011011011001	1055	0.025756836	0.025756836
24_13	7	011110011110011011011001	1016	0.024804687	0.024804687
24_13	8	111111011111001011010001	980	0.023925781	0.023925781
24_13	9	111010011111001011010001	919	0.022436523	0.022436523
24_13	10	110111011111001011010001	884	0.021582031	0.021582031
24_13	11	101110011111001011010001	463	0.011303711	0.011303711
24_13	12	111110011111001011010011	457	0.011157227	0.011157227
24_13	13	111110011101001011010001	440	0.010742188	0.010742188
24_13	14	111110111111001011010001	277	0.0067626953	0.0067626953
24_13	15	111110011111001001010001	266	0.0064941406	0.0064941406
24_13	16	111110111111001011010011	189	0.0046142578	0.0046142578
24_13	17	111110010111001001010001	169	0.0041259766	0.0041259766
24_13	18	111110111100001011010101	103	0.0025146484	0.0025146484
24_13	19	011110111100011011011001	98	0.0023925781	0.0023925781
24_13	20	111111111101001011010001	90	0.0021972656	0.0021972656
32_14	1	00000101001101000001011111101100	18798	0.45893555	0.45893555
32_14	2	00000001001101000001011111101100	2563	0.062573242	0.062573242
32_14	3	00000101001101000001011011101101	1804	0.044042969	0.044042969
32_14	4	00000101011101000001011111101110	1314	0.032080078	0.032080078
32_14	5	00000101001101000000010111101100	1018	0.024853516	0.024853516
32_14	6	00000101001101000000011111101100	959	0.023413086	0.023413086
32_14	7	00000101001101010001010111001100	957	0.023364258	0.023364258
32_14	8	00000101101100000001011111101100	878	0.021435547	0.021435547
32_14	9	00000101001101010001110111001100	667	0.01628418	0.01628418
32_14	10	00000101001101000001011011101100	508	0.012402344	0.012402344
32_14	11	00000101001101000001111111101100	506	0.012353516	0.012353516
32_14	12	00000101001101000001001111101100	376	0.0091796875	0.0091796875
32_14	13	00000101001111000001011111101100	374	0.0091308594	0.0091308594
32_14	14	01000101001101100001011111101100	361	0.0088134766	0.0088134766
32_14	15	00000101001101010001111111001100	305	0.0074462891	0.0074462891
32_14	16	00000101001101000001011111101110	278	0.0067871094	0.0067871094
32_14	17	01000101001101000001011111101100	271	0.0066162109	0.0066162109
32_14	18	00000101001101100001011111101100	240	0.005859375	0.005859375
32_14	19	00000001001101000001011011101101	237	0.0057861328	0.0057861328
32_14	20	00000101001101000001010111101100	229	0.0055908203	0.0055908203
36_15	1	110110011011011111011001011110101111	19	0.00046386719	0.0026366916
36_15	2	110110011011011101011001011110101111	19	0.00046386719	0.0026366916
36_15	3	110110011001011101011001011110101111	18	0.00043945313	0.0024979184
36_15	4	110110011011011101011000011110101111	17	0.00041503906	0.0023591452
36_15	5	110110011011111101011000011110101111	16	0.000390625	0.0022203719
36_15	6	110110011001111101011000011110101111	16	0.000390625	0.0022203719
36_15	7	110110011011111100011001011110101111	14	0.00034179687	0.0019428254
36_15	8	111110011011011101011000011110101111	13	0.00031738281	0.0018040522
36_15	9	110110011011111111011001011110101111	13	0.00031738281	0.0018040522
36_15	10	110110011011011100011001011110101111	13	0.00031738281	0.0018040522
36_15	11	110110011011111111011000011110101111	13	0.00031738281	0.0018040522
36_15	12	110110011001111101011001011110101111	12	0.00029296875	0.0016652789
36_15	13	110111011001111101011000011110101111	11	0.00026855469	0.0015265057
36_15	14	110110011011011101011001011010101111	11	0.00026855469	0.0015265057
36_15	15	110110011011111101011001011110101111	11	0.00026855469	0.0015265057
36_15	16	110110011001011111011001011110101111	10	0.00024414062	0.0013877324
36_15	17	111110011011011111011001011110101111	10	0.00024414062	0.0013877324
36_15	18	110110011010111100011001011110101111	9	0.00021972656	0.0012489592
36_15	19	111110011011011101011001011110101111	9	0.00021972656	0.0012489592
36_15	20	110111011001111101011001011110101111	9	0.00021972656	0.0012489592
40_16	1	0101110101001110011000111011100110010110	19327	0.47185059	0.47185059
40_16	2	0101110101001110011000111011100110000110	4627	0.11296387	0.11296387
40_16	3	0101110101001110011000111011100010010110	1237	0.030200195	0.030200195
40_16	4	1101110101001110011000111011100110011110	1207	0.029467773	0.029467773
40_16	5	0101110101001110011000111111100110010110	709	0.01730957	0.01730957
40_16	6	0101110101001110011000111011101110010010	615	0.015014648	0.015014648
40_16	7	0101110111001110011000111011100110010110	560	0.013671875	0.013671875
40_16	8	0101110101001110011000011011100110010110	557	0.013598633	0.013598633
40_16	9	0101110101001110011000111011100110010100	519	0.012670898	0.012670898
40_16	10	0100110101001110011000111011100110000110	500	0.012207031	0.012207031
40_16	11	0100110101001110011000011011100110010110	456	0.011132813	0.011132813
40_16	12	1101110101001110011000111011100110001110	341	0.0083251953	0.0083251953
40_16	13	0101110101001110011000111011100010000110	325	0.0079345703	0.0079345703
40_16	14	0101110101001110011000111011110110010110	306	0.0074707031	0.0074707031
40_16	15	0101110101001110011000011011100110000110	286	0.0069824219	0.0069824219
40_16	16	1101110101001110011000111011100111010110	244	0.0059570312	0.0059570312
40_16	17	0101110101001110010000111011100110010110	239	0.0058349609	0.0058349609
40_16	18	0111110101001110011000011011100110010110	188	0.0045898438	0.0045898438
40_16	19	0101110101001110011000111011100110110110	162	0.0039550781	0.0039550781
40_16	20	0101110101001110111000111011100110010110	161	0.0039306641	0.0039306641
40_17	1	0010010101010111001001000010001000001001	22847	0.55778809	0.55778809
40_17	2	0010110101010111000001000010001000001001	2669	0.065161133	0.065161133
40_17	3	0010010111010111001001001010001000001001	1505	0.036743164	0.036743164
40_17	4	1010010111010111001001000010001000001001	1501	0.036645508	0.036645508
40_17	5	0010010101010111001001000010011000001001	1338	0.032666016	0.032666016
40_17	6	0010010101010110001001000010001000101001	1040	0.025390625	0.025390625
40_17	7	0010010101011111001001000000001000001001	812	0.019824219	0.019824219
40_17	8	0010010111010111001001000010001000001001	790	0.019287109	0.019287109
40_17	9	0010010001010110001001000010001000001001	750	0.018310547	0.018310547
40_17	10	0011010101010111001001000010001000001001	610	0.014892578	0.014892578
40_17	11	0010010001010111001001000010001000001001	427	0.010424805	0.010424805
40_17	12	0010010101010111001001000010001000101001	365	0.0089111328	0.0089111328
40_17	13	0010010111010111001001000010001010001001	305	0.0074462891	0.0074462891
40_17	14	0010010101010110001001000010001000001001	186	0.0045410156	0.0045410156
40_17	15	1010110111010111000001000010001000001001	184	0.0044921875	0.0044921875
40_17	16	0010110101010111000001000010011000001001	168	0.0041015625	0.0041015625
40_17	17	0010110111010111000001001010001000001001	165	0.0040283203	0.0040283203
40_17	18	0010010101010111001001000010001001001001	161	0.0039306641	0.0039306641
40_17	19	1010010101010111001001001010001000001001	130	0.0031738281	0.0031738281
40_17	20	0010110111010111000001000010001000001001	115	0.0028076172	0.0028076172
40_18	1	0100000110010010001101111000111111001110	10970	0.26782227	0.27663599
40_18	2	0100000110010010001101111000111111011110	3145	0.076782227	0.07930904
40_18	3	0100000110010010001101110000111111001110	2350	0.057373047	0.059261127
40_18	4	0100000110010010001101111000111011001110	1516	0.037011719	0.038229731
40_18	5	0100000010010010001101111000111110001110	1005	0.024536133	0.025343588
40_18	6	0100000110010010001101111000111111001010	988	0.024121094	0.024914891
40_18	7	0100000110010010001101111000111111001100	692	0.016894531	0.017450511
40_18	8	0100000110010010001101110000111111011110	633	0.015454102	0.015962678
40_18	9	0110000110010010001101111000111011001110	632	0.015429688	0.015937461
40_18	10	1100000110010010001101111001111111001110	592	0.014453125	0.014928761
40_18	11	0110000110010010001101111000111111001110	538	0.013134766	0.013567016
40_18	12	0100001110010010001101111000111111001100	465	0.011352539	0.011726138
40_18	13	0100000110000010001101111000111111001110	383	0.0093505859	0.0096583029
40_18	14	0100000110010010001111111000111111001110	319	0.0077880859	0.0080443828
40_18	15	0100000110000010001101111000111011001110	300	0.0073242188	0.0075652503
40_18	16	0100000110010010001101110000111011001110	295	0.0072021484	0.0074391628
40_18	17	0100000010010010001101111000111110011110	290	0.0070800781	0.0073130753
40_18	18	0100000110010010001101111000111111011010	282	0.0068847656	0.0071113353
40_18	19	1100000110010010001111111000111111001110	241	0.0058837891	0.0060774177
40_18	20	0100000110010010001101110000111111001010	231	0.0056396484	0.0058252427
48_19	1	011001010111101100111110000001011101001110010000	28072	0.68535156	0.68535156
48_19	2	011001010111101100111111000001011101001110010100	1844	0.045019531	0.045019531
48_19	3	011001010111101100111111000001011101001110010000	1714	0.041845703	0.041845703
48_19	4	011001010111101100011110000001011101001110010000	628	0.015332031	0.015332031
48_19	5	011000011111101100111110000001011111001110010000	524	0.012792969	0.012792969
48_19	6	011000011111101100111110000001011101001110010000	520	0.012695312	0.012695312
48_19	7	011001010111101100111110000001011110101110010000	445	0.010864258	0.010864258
48_19	8	011001010111101110111110000001011101000110010000	432	0.010546875	0.010546875
48_19	9	011001010111101110111110010001011100101110010000	422	0.010302734	0.010302734
48_19	10	011001010111101100111110000001011101000110010000	397	0.0096923828	0.0096923828
48_19	11	011001010111101110111110000001011100101110010000	395	0.0096435547	0.0096435547
48_19	12	011001010111101100111110000011011101000110010000	367	0.0089599609	0.0089599609
48_19	13	011001010111101110111110000011011101000110010000	356	0.0086914063	0.0086914063
48_19	14	011001010111101100111110010001011110101110010000	323	0.0078857422	0.0078857422
48_19	15	011101010111101100111110000001011101001110010000	321	0.0078369141	0.0078369141
48_19	16	011001010111101100111110000001011101001110010100	211	0.0051513672	0.0051513672
48_19	17	011001010111101100111110000011011101001110010000	157	0.0038330078	0.0038330078
48_19	18	011001010111101110111110000011011101001110010000	154	0.0037597656	0.0037597656
48_19	19	011001010111101100111110000001011111001110010000	135	0.0032958984	0.0032958984
48_19	20	011001010101101100111110000001011101001110010000	118	0.0028808594	0.0028808594
48_20	1	101010100101001010000110101000001011110010000000	25991	0.6345459	0.6345459
48_20	2	101010100101001010000110101000001001110010000000	2247	0.054858398	0.054858398
48_20	3	101010101101001010000110101001001011110010000000	2131	0.052026367	0.052026367
48_20	4	101010000101001010000110101000011011110010000000	1995	0.048706055	0.048706055
48_20	5	101010100101001010000110101000001011110000010000	1156	0.028222656	0.028222656
48_20	6	101010100011001010000110101000001011110010000000	840	0.020507812	0.020507812
48_20	7	101010100101001010000110100000001011110010000000	727	0.017749023	0.017749023
48_20	8	001010100011001010000110101000001011110010000000	678	0.016552734	0.016552734
48_20	9	101010100111001010000110101000001011110010000000	431	0.010522461	0.010522461
48_20	10	101010101101001010000110101001001001110010000000	223	0.0054443359	0.0054443359
48_20	11	101010000101001010000110101000011001110010000000	199	0.0048583984	0.0048583984
48_20	12	101010100101000010000110101000001011110010000000	192	0.0046875	0.0046875
48_20	13	101010001101001010000110101001011011110010000000	145	0.0035400391	0.0035400391
48_20	14	101010100101001010000110111000001011110010000000	119	0.0029052734	0.0029052734
48_20	15	101010100001001010000110101000001011110010000000	111	0.0027099609	0.0027099609
48_20	16	001010100001001010000110101000001011110010000000	108	0.0026367188	0.0026367188
48_20	17	101010100101001010000110101000001001110000010000	104	0.0025390625	0.0025390625
48_20	18	101010100101001010000110101000001111110010000000	103	0.0025146484	0.0025146484
48_20	19	101010100101001110000110101010001011110010000000	98	0.0023925781	0.0023925781
48_20	20	101010101101001010000110101001001011110000010000	96	0.00234375	0.00234375
48_21	1	111010101110101011110101000001101000100000001001	21012	0.51298828	0.51298828
48_21	2	111010101110101011110100000001101000100000001001	2575	0.062866211	0.062866211
48_21	3	111010101110101010110101000001101000110000001001	885	0.021606445	0.021606445
48_21	4	111010101010101011110101000001101000100000001001	836	0.020410156	0.020410156
48_21	5	111010101110101011110101000001101100100000001001	608	0.01484375	0.01484375
48_21	6	111010101110101011110101000001101000110000001001	504	0.012304687	0.012304687
48_21	7	111010101110101011110101000000101000100000001001	487	0.011889648	0.011889648
48_21	8	111010101110101011010101000001101000100000001001	463	0.011303711	0.011303711
48_21	9	111010101111101011110101000001101000100000001001	440	0.010742188	0.010742188
48_21	10	111010101110101011110101000001111000100000001001	416	0.01015625	0.01015625
48_21	11	111010101110101011110101000001101000100000011001	365	0.0089111328	0.0089111328
48_21	12	111000101110101011110101000001101000100000001001	326	0.0079589844	0.0079589844
48_21	13	111010101110101011110101000001101000100000000001	319	0.0077880859	0.0077880859
48_21	14	111010101110001011110101000001101010100000001001	297	0.0072509766	0.0072509766
48_21	15	111010111000101011110101000001101000100000001001	259	0.0063232422	0.0063232422
48_21	16	111010100110101011110111000001101000100000001001	256	0.00625	0.00625
