16,10100011,original,6,0.2324794265447295,6,0.03874657109078825,0,temporal_ensemble.runs[0].peak_extraction.candidates[2].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[2].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[2].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[2].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[2].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[2].bitstring_original_order
17,10111010,original,6,0.2139903900373083,6,0.03566506500621805,0,temporal_ensemble.runs[0].peak_extraction.candidates[3].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[3].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[3].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[3].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[3].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[3].bitstring_original_order
18,01011101,site,6,0.2139903900373083,6,0.03566506500621805,0,temporal_ensemble.runs[0].peak_extraction.candidates[3].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[3].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[3].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[3].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[3].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[3].site_bitstring
19,10010010,original,6,0.208633440935854,6,0.034772240155975666,0,temporal_ensemble.runs[0].peak_extraction.candidates[4].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[4].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[4].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[4].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[4].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[4].bitstring_original_order
20,01001001,site,6,0.208633440935854,6,0.034772240155975666,0,temporal_ensemble.runs[0].peak_extraction.candidates[4].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[4].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[4].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[4].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[4].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[4].site_bitstring
21,11011101,site,6,0.16810102457582843,6,0.028016837429304737,0,temporal_ensemble.runs[0].peak_extraction.candidates[5].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[5].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[5].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[5].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[5].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[5].site_bitstring
22,10111011,original,6,0.16810102457582843,6,0.028016837429304737,0,temporal_ensemble.runs[0].peak_extraction.candidates[5].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[5].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[5].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[5].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[5].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[5].bitstring_original_order
23,11101001,site,6,0.14331199829686553,6,0.023885333049477587,0,temporal_ensemble.runs[0].peak_extraction.candidates[6].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[6].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[6].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[6].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[6].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[6].site_bitstring
24,10010111,original,6,0.14331199829686553,6,0.023885333049477587,0,temporal_ensemble.runs[0].peak_extraction.candidates[6].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[6].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[6].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[6].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[6].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[6].bitstring_original_order
25,10111110,original,6,0.11662108264490642,6,0.019436847107484403,0,temporal_ensemble.runs[0].peak_extraction.candidates[7].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[7].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[7].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[7].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[7].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[7].bitstring_original_order
26,01111101,site,6,0.11662108264490642,6,0.019436847107484403,0,temporal_ensemble.runs[0].peak_extraction.candidates[7].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[7].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[7].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[7].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[7].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[7].site_bitstring
27,11100001,site,6,0.11621966699218705,6,0.019369944498697843,0,temporal_ensemble.runs[0].peak_extraction.candidates[8].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[8].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[8].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[8].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[8].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[8].site_bitstring
28,10000111,original,6,0.11621966699218705,6,0.019369944498697843,0,temporal_ensemble.runs[0].peak_extraction.candidates[8].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[8].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[8].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[8].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[8].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[8].bitstring_original_order
29,10101110,original,6,0.10118802940360772,6,0.016864671567267953,0,temporal_ensemble.runs[0].peak_extraction.candidates[9].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[9].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[9].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[9].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[9].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[9].bitstring_original_order
30,01110101,site,6,0.10118802940360772,6,0.016864671567267953,0,temporal_ensemble.runs[0].peak_extraction.candidates[9].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[9].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[9].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[9].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[9].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[9].site_bitstring
31,11111101,site,6,0.09161216761338323,6,0.015268694602230537,0,temporal_ensemble.runs[0].peak_extraction.candidates[10].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[10].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[10].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[10].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[10].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[10].site_bitstring
32,10111111,original,6,0.09161216761338323,6,0.015268694602230537,0,temporal_ensemble.runs[0].peak_extraction.candidates[10].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[10].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[10].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[10].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[10].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[10].bitstring_original_order
33,10011010,original,6,0.08546867248744591,6,0.014244778747907652,0,temporal_ensemble.runs[0].peak_extraction.candidates[11].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[11].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[11].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[11].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[11].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[11].bitstring_original_order
34,01011001,site,6,0.08546867248744591,6,0.014244778747907652,0,temporal_ensemble.runs[0].peak_extraction.candidates[11].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[11].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[11].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[11].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[11].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[11].site_bitstring
35,11110101,site,6,0.07948866962946295,6,0.013248111604910491,0,temporal_ensemble.runs[0].peak_extraction.candidates[12].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[12].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[12].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[12].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[12].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[12].site_bitstring
36,10101111,original,6,0.07948866962946295,6,0.013248111604910491,0,temporal_ensemble.runs[0].peak_extraction.candidates[12].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[12].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[12].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[12].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[12].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[12].bitstring_original_order
37,10001110,original,6,0.07869328253228079,6,0.013115547088713465,0,temporal_ensemble.runs[0].peak_extraction.candidates[13].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[13].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[13].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[13].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[13].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[13].bitstring_original_order
38,01110001,site,6,0.07869328253228079,6,0.013115547088713465,0,temporal_ensemble.runs[0].peak_extraction.candidates[13].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[13].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[13].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[13].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[13].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[13].site_bitstring
39,10010001,original,6,0.07544748784918082,6,0.012574581308196803,0,temporal_ensemble.runs[0].peak_extraction.candidates[14].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[14].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[14].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[14].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[14].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[14].bitstring_original_order
40,10001001,site,6,0.07544748784918082,6,0.012574581308196803,0,temporal_ensemble.runs[0].peak_extraction.candidates[14].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[14].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[14].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[14].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[14].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[14].site_bitstring
41,11011001,site,6,0.0671402646248305,6,0.011190044104138416,0,temporal_ensemble.runs[0].peak_extraction.candidates[15].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[15].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[15].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[15].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[15].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[15].site_bitstring
42,10011011,original,6,0.0671402646248305,6,0.011190044104138416,0,temporal_ensemble.runs[0].peak_extraction.candidates[15].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[15].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[15].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[15].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[15].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[15].bitstring_original_order
43,11001101,site,6,0.06634811144029142,6,0.011058018573381902,0,temporal_ensemble.runs[0].peak_extraction.candidates[16].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[16].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[16].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[16].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[16].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[16].site_bitstring
44,10110011,original,6,0.06634811144029142,6,0.011058018573381902,0,temporal_ensemble.runs[0].peak_extraction.candidates[16].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[16].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[16].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[16].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[16].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[16].bitstring_original_order
45,11110001,site,6,0.061817829382923385,6,0.010302971563820564,0,temporal_ensemble.runs[0].peak_extraction.candidates[17].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[17].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[17].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[17].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[17].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[17].site_bitstring
46,10001111,original,6,0.061817829382923385,6,0.010302971563820564,0,temporal_ensemble.runs[0].peak_extraction.candidates[17].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[17].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[17].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[17].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[17].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[17].bitstring_original_order
47,10101010,original,6,0.05458772694514623,6,0.009097954490857705,0,temporal_ensemble.runs[0].peak_extraction.candidates[18].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[18].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[18].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[18].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[18].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[18].bitstring_original_order
48,01010101,site,6,0.05458772694514623,6,0.009097954490857705,0,temporal_ensemble.runs[0].peak_extraction.candidates[18].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[18].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[18].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[18].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[18].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[18].site_bitstring
49,11010101,site,6,0.042881611773055814,6,0.007146935295509302,0,temporal_ensemble.runs[0].peak_extraction.candidates[19].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[19].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[19].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[19].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[19].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[19].site_bitstring
50,10101011,original,6,0.042881611773055814,6,0.007146935295509302,0,temporal_ensemble.runs[0].peak_extraction.candidates[19].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[19].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[19].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[19].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[19].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[19].bitstring_original_order
51,10011110,original,6,0.041938341216837156,6,0.006989723536139526,0,temporal_ensemble.runs[0].peak_extraction.candidates[20].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[20].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[20].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[20].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[20].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[20].bitstring_original_order
52,01111001,site,6,0.041938341216837156,6,0.006989723536139526,0,temporal_ensemble.runs[0].peak_extraction.candidates[20].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[20].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[20].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[20].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[20].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[20].site_bitstring
